LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V14;119;05;25mm;73,71;3;630;630;BF2D@HjLIVING-MA.117@r01@i119@p479043@l6300@n3@e73.71@d25.0@gCA50@s375.00@v@Gl6300@w0@C83@
LIVING-MA.117;21869;V14;120;06;25mm;54,99;3;470;470;BF2D@HjLIVING-MA.117@r01@i120@p479044@l4700@n3@e54.99@d25.0@gCA50@s375.00@v@Gl4700@w0@C77@
LIVING-MA.117;21869;V14;121;07;20mm;27,25;2;545;545;BF2D@HjLIVING-MA.117@r01@i121@p479045@l5450@n2@e27.25@d20.0@gCA50@s300.00@v@Gl5450@w0@C66@
LIVING-MA.117;21869;V14;122;08;12,5mm;19,60;4;500;497;BF2D@HjLIVING-MA.117@r01@i122@p479046@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C77@
LIVING-MA.117;21869;V14;123;09;12,5mm;4,90;2;250;250;BF2D@HjLIVING-MA.117@r01@i123@p479047@l2500@n2@e4.9@d12.5@gCA50@s50.00@v@Gl2500@w0@C87@
LIVING-MA.117;21869;V14;124;10;25mm;166,14;4;1065;1065;BF2D@HjLIVING-MA.117@r01@i124@p479048@l10650@n4@e166.14@d25.0@gCA50@s375.00@v@Gl10650@w0@C91@
LIVING-MA.117;21869;V14;125;11;25mm;153,27;6;655;655;BF2D@HjLIVING-MA.117@r01@i125@p479049@l6550@n6@e153.27@d25.0@gCA50@s375.00@v@Gl6550@w0@C79@
LIVING-MA.117;21869;V14;126;12;25mm;114,66;6;490;490;BF2D@HjLIVING-MA.117@r01@i126@p479050@l4900@n6@e114.66@d25.0@gCA50@s375.00@v@Gl4900@w0@C92@
LIVING-MA.117;21869;V14;127;13;25mm;148,20;4;950;950;BF2D@HjLIVING-MA.117@r01@i127@p479051@l9500@n4@e148.2@d25.0@gCA50@s375.00@v@Gl9500@w0@C77@
LIVING-MA.117;21869;V14;128;14;12,5mm;4,70;2;240;240;BF2D@HjLIVING-MA.117@r01@i128@p479052@l2400@n2@e4.704@d12.5@gCA50@s50.00@v@Gl2400@w0@C86@
LIVING-MA.117;21869;V14;129;15;8mm;416,30;294;354;347;BF2D@HjLIVING-MA.117@r01@i129@p479053@l3540@n294@e416.304@d8.0@gCA50@s32.00@v@Gl80@w-120@l1550@w-90@l140@w-90@l1550@w-90@l140@w-120@l80@w0@C83@
LIVING-MA.117;21869;V14;130;16;8mm;48,94;28;437;437;BF2D@HjLIVING-MA.117@r01@i130@p479054@l4370@n28@e48.944@d8.0@gCA50@s32.00@v@Gl4370@w0@C69@
LIVING-MA.117;21869;V14;131;17;8mm;96,21;28;859;859;BF2D@HjLIVING-MA.117@r01@i131@p479055@l8590@n28@e96.208@d8.0@gCA50@s32.00@v@Gl8590@w0@C87@
LIVING-MA.117;21869;V03;30;01;12,5mm;5,50;3;187;184;BF2D@HjLIVING-MA.117@r01@i30@p478943@l1870@n3@e5.498@d12.5@gCA50@s50.00@v@Gl380@w-90@l1490@w0@C84@
LIVING-MA.117;21869;V03;31;02;20mm;31,95;2;639;639;BF2D@HjLIVING-MA.117@r01@i31@p478944@l6390@n2@e31.95@d20.0@gCA50@s300.00@v@Gl6390@w0@C65@
LIVING-MA.117;21869;V03;32;03;10mm;2,93;3;155;153;BF2D@HjLIVING-MA.117@r01@i32@p478945@l1550@n3@e2.93@d10.0@gCA50@s40.00@v@Gl270@w-90@l1280@w0@C94@
LIVING-MA.117;21869;V03;33;04;12,5mm;7,02;2;358;355;BF2D@HjLIVING-MA.117@r01@i33@p478946@l3580@n2@e7.017@d12.5@gCA50@s50.00@v@Gl390@w-90@l3190@w0@C90@
LIVING-MA.117;21869;V03;34;05;12,5mm;10,58;4;270;270;BF2D@HjLIVING-MA.117@r01@i34@p478947@l2700@n4@e10.584@d12.5@gCA50@s50.00@v@Gl2700@w0@C67@
LIVING-MA.117;21869;V03;35;06;10mm;4,66;2;370;368;BF2D@HjLIVING-MA.117@r01@i35@p478948@l3700@n2@e4.662@d10.0@gCA50@s40.00@v@Gl390@w-90@l3310@w0@C71@
LIVING-MA.117;21869;V03;36;07;6,3mm;9,43;29;130;125;BF2D@HjLIVING-MA.117@r01@i36@p478949@l1300@n29@e9.425@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C88@
